Title,Removed amounts and measurements
Easy Calzone Recipe,"['pizza dough','mushroom','clove','spinach','oil','basil','pizza sauce','mozzarella','parmesan','egg','salt']"
,['']
Pear and Gorgonzola Cheese Pizza,"['pizza crust','cheese','pear','walnut','gorgonzola','chives']"
Veggie Pizza,"['roll','cream','cream','dill','garlic','ranch dressing','onion','celery','radishes','pepper','broccoli','carrot']"
Four Cheese Margherita Pizza,"['oil','garlic','salt','tomato','pizza crust','mozzarella','fontina','basil','parmesan','feta']"
Jan's Jalapeno Popper Pizza,"['bacon','onion','clove','cumin','oregano','tea','cream','cream','pizza dough','mozzarella','cheddar','jalapeno','parsley']"
Eggs Benedict Breakfast Pizza,"['egg','butter','roll','hollandaise sauce','milk','butter','ham','cheddar']"
"Pizza with Ham, Asparagus, and Ricotta","['asparagus','ricotta','oil','clove','pepper','pepper','cream','rosemary','pizza dough','flour','ham','cheddar','egg']"
Butternut Squash Pizzas with Rosemary,"['onion','butter','rosemary','pepper','oil','pizza crust','corn','parmesan']"
Jimmy's Mexican Pizza,"['beef','onion','garlic','chili','cumin','paprika','tea','tea','beans','flour','salsa','cheddar','monterey jack','onion','tomato','jalapeno','cream']"
Hummus Pizza,"['pizza crust','hummus','pepper','broccoli','monterey jack']"
Reuben Pizza,"['bread','thousand island dressing','cheese','beef','sauerkraut','tea','dill']"
Waffle Pizzas,"['pizza dough','pizza sauce','mozzarella','pepper']"
Poutine Pizza,"['flour','water','egg','yeast','sugar','french fries','cooking spray','bacon','cheese','pizza sauce','beef']"
Mexican Pizza,"['beans','salsa','pizza crust','lettuce','onion','ranch dressing','rum','monterey jack']"
Pierogi Pizza,"['yeast','tea','water','flour','tea','oil','potato','oil','cream','garlic','monterey jack','onion','bacon']"
Fish Tacos,"['flour','corn','baking powder','tea','egg','beer','yogurt','mayonnaise','lime','jalapeno','capers','oregano','cumin','dill','cayenne','oil','cod','corn','cabbage']"
Double Decker Tacos,"['beef','taco','beans','water','taco','avocado','cream','lime','pepper','flour','cheddar','lettuce','tomato','onion','cream']"
Spicy Dorito® Taco Salad,"['beef','garlic','chili','tea','lettuce','tortilla','cheese','beans','tomato','onion','jalapeno','oil','sugar','ketchup','taco','vinegar','worcestershire sauce']"
Tasty Lentil Tacos,"['oil','onion','garlic','lentils','taco','chicken','salsa','taco']"
