Title,Removed amounts and measurements
Easy Enchiladas,"['gin','corn','onion','garlic','tomato','chile','water','oregano','cheddar','lettuce','apple','salt','cream','cilantro','casserole']"
Easy Chicken Skillet Enchiladas,"['chicken','tea','onion','clove','tomato','water','chili','chili','oregano','cumin','flour','cheese','cilantro','radishes','cream','avocado','jalapeno','skillet']"
Texas Stacked Enchiladas with Corn and Black Beans,"['clove','onion','tomato','flour','chile','oregano','tea','water','oil','corn','oil','onion','corn','tea','pepper','beans','feta','avocado','radishes','cilantro',' baking sheets']"
Salsa Verde Chicken Enchiladas,"['chicken','garlic','onion','salt','tomatillos','pepper','clove','onion','cilantro','lime','salt','corn','corn','cream','queso fresco','onion','cilantro']"
Butternut Squash Enchiladas,"['butter','onion','clove','oil','tea','tea','tomato','chili','oregano','cumin','tea','oil','oil','beans','corn','monterey jack','cilantro','avocado','radishes','onion','cream']"
Turkey Black Bean Enchiladas,"['chili','cumin','oregano','garlic','cinnamon','clove','tea','tea','flour','gin','chicken','gin','onion','clove','chili','turkey','beans','monterey jack','cilantro','lemon','tea','flour','onion','avocado','cilantro','cream','lettuce']"
Creamy Cheesy Turkey Enchiladas,"['butter','onion','cumin','cream','carrot','turkey','salt','cream','salsa','monterey jack','flour','olives','onion','casserole']"
Mexican Lasagna,"['gin','beef','tea','chili','cumin','coriander','cayenne','beans','onion','pepper','clove','tomato','chile','oregano','corn','monterey jack','cheddar','cream','avocado','cilantro','lettuce']"
Chicken and Dumplings,"['chicken','butter','salt','chicken','celery','carrot','onion','flour','tea','sherry','cream','peas','parsley','pepper','flour','baking powder','tea','butter','milk','chives']"
Instant Pot Chicken and Dumplings,"['flour','baking powder','salt','butter','milk','gin','onion','celery','carrot','salt','tea','chicken','tea','chicken','peas','parsley','cream','instant pot']"
Beef Goulash with Dumplings,"['gin','onion','sugar','clove','caraway seeds','paprika','paprika','marjoram','tea','bay leaf','tomato','vinegar','chicken','chuck roast','salt','tea','flour','baking powder','tea','milk','butter']"
Baked Vegetable and Cream Cheese Wontons,"['oil','clove','gin','cabbage','carrot','peas','scallions','tea','oil','egg','wonton wrappers','cream','soy sauce','ice','oil']"
Blackberry Slump,"['flour','baking powder','tea','sugar','butter','milk','blackberries','sugar','cinnamon','tea','tea','water','cream']"
Cauliflower Gnocchi (Trader Joe’s Copycat!),"['cauliflower','salt','oil','flour','potato','parmesan','parsley','sage','food processor']"
Blueberry Slump,"['flour','baking powder','tea','sugar','butter','milk','blueberries','sugar','cinnamon','nutmeg','tea','tea','water','cream']"
Pumpkin Ricotta Gnocchi,"['pumpkin','milk','egg','salt','parmesan','flour','sage','butter','pepper','salt']"
Slow Cooker Chinese Pulled Pork,"['pork','tea','hoisin sauce','soy sauce','honey','sherry','gin','garlic','roll','ice']"
Vegetable Samosas with Mint Cilantro Chutney,"['cilantro','mint','lemon','clove','  jalapenos, chopped','gin','tea','cumin','flour','tea','oil','water','potato','oil','cumin','onion','tea','coriander','garam masala','turmeric','tea','peas','oil']"
Cauliflower Gnocchi with Creamy Sun-Dried Tomato Sauce,"['cauliflower','oil','shallot','garlic','tomato','vegetable stock','halfandhalf','salt','oregano','tea','pepper','pecorino']"
Air Fryer Crab Rangoon,"['wonton wrappers','cream','crab meat','scallions','soy sauce','nonstick spray for air fryer','soy sauce','oil','ice','sesame seeds','pepper']"
Chicken Paprikash,"['chicken','salt','butter','onion','pepper','paprika','cayenne','chicken','cream']"
Spinach Ricotta Gnocchi,"['spinach','egg','tea','milk','egg','flour','nutmeg','tomato','gin','clove','salt','cheese']"
Deep-Dish Bacon and Cheddar Quiche,"['butter','flour','salt','water','flour','bacon','egg','cream','tea','tea','parsley','cheddar','scallions','pan']"
Zucchini Tomato Quiche,"['butter','gin','onion','zucchini','egg','milk','cream','cream','tea','basil','parsley','tea','tea','parmesan','tomato']"
Cheesy Crustless Quiche with Broccoli and Ham,"['oil','broccoli','ham','cheddar','egg','egg','cream','tea','tea','baking dish']"
Ham and Asparagus Quiche,"['pie dough','gin','shallot','asparagus','ham','pepper','milk','cream','egg','cheese','pan']"
Spinach and Artichoke Quiche,"['flour','tea','butter','water','one inch pie dish','artichoke hearts','spinach','butter','shallot','tea','egg','milk','cream','cheese','tea','tea','chives']"
Asparagus Quiche with Fontina Cheese,"['pie crust','flour','asparagus','fontina','egg','cream','tea','tea','pan','beans']"
Quiche Lorraine,"['pie crust','bacon','milk','cream','egg','tea','tea','nutmeg','cheddar','chives']"
"Smoked Salmon, Dill, and Goat Cheese Quiche","['flour','tea','butter','water','pan','gin','shallot','salmon','cheese','egg','milk','cream','dill','tea','tea','tea']"
Mushroom Quiche,"['pie dough','gin','shallot','mushroom','salt','pepper','milk','cream','egg','nutmeg','cheese']"
Caramelized Onion Quiche,"['pie dough','gin','onion','salt','vinegar','milk','cream','egg','nutmeg','cheese']"
Cheesy Crustless Quiche,"['butter','flour','milk','cheese','baking powder','tea','dijon mustard','egg','cream','cheese','parmesan','onion','bacon','tomato']"
Mini Salmon Quiches,"['oil','scallions','parsley','egg','cream','pepper','butter','cream','salmon','dill','muffin tin','biscuit']"
Lasagna,"['gin','beef','onion','pepper','clove','tomato','tomato','tomato','oregano','parsley','italian seasoning','garlic','wine','sugar','salt','lasagna noodle','ricotta','mozzarella','parmesan','casserole','pan']"
Vegetarian Spinach and Mushroom Lasagna,"['mushroom','mushroom','salt','onion','gin','clove','tomato','tomato','tomato','water','thyme','tea','sugar','spinach','lasagna noodle','ricotta','basil','parmesan','mozzarella','casserole']"
Butternut Squash Lasagna,"['butter','oil','tea','tea','milk','sage','butter','flour','parmesan','tea','tea','lasagna noodle','milk','egg','parmesan','fontina','parsley','lemon','tea','pepper','spinach','parmesan','fontina']"
No-Bake Lasagna,"['lasagna noodle','milk','lemon','salt','tea','oil','shallot','swiss chard','garlic','zucchini','squash','tomato','basil']"
Loaf Pan Lasagna,"['oil','chicken','tomato','garlic','oregano','tea','tea','egg','ricotta','parmesan','nutmeg','pepper','oil','oil','mozzarella','parsley']"
Marge Perry and David Bonom’s Easy Skillet Lasagna,"['milk','pecorino','oil','onion','clove','tea','oregano','spinach','tomato','tea','tea','lasagna noodle','milk']"
Four-Cheese Lasagna with Fresh Pasta,"['ricotta','parmesan','egg','tea','rosemary','mozzarella','fontina','salt','oil','oil','parmesan','chopped fresh herbs, for garnish','baking dish']"
Zucchini Lasagna Roll-Ups,"['zucchini','oil','tea','tea','gin','garlic','tomato','tea','tea','tea','basil','ricotta','parmesan','egg','nutmeg','pepper','parsley','basil',' baking sheets','oil','baking dish']"
Three-Cheese Pesto Lasagna,"['basil','clove','pine nuts','parmesan','gin','lemon','salt','gin','clove','tea','tea','mushroom','salt','gin','spinach','ale','salt','butter','flour','milk','parmesan','egg','ricotta','lasagna noodle','gin','mozzarella']"
Buffalo Chicken Lasagna,"['butter','flour','milk','cheese','salt','pepper','chicken','hot sauce','lasagna noodle','mozzarella','baking dish']"
Lasagna Bolognese,"['pan','onion','celery','carrot','butter','beef','pork','sage','clove','cinnamon','tea','tomato','milk','salt','milk','butter','flour','lasagna noodle','lasagna noodle','parmesan']"
Pastelón (Puerto Rican Plantain “Lasagna”),"['plantains','oil','beef','tea','tea','onion','pepper','cilantro','olives','capers','oregano','tomato','cheddar','egg','baking soda']"
Grilled Taco Spiced Chicken,"['taco','oregano','chicken','oil','barbecue sauce','chili','cumin']"
Easy Taco Salad,"['oil','ground chuck','salsa','salt','lime','honey','garlic','lettuce','tortilla','cheddar','beans','corn','tomato','onion','guacamole','cream','cilantro']"
Dessert Taco Shells,"['flour','sugar','cinnamon','butter']"
Caramel-Apple Dessert Tacos,"['taco','flour','sugar','cinnamon','butter','apple','apple','sugar','flour','butter','salt','cinnamon','cream','cream','caramel','cinnamon','additional ingredient','caramel']"
Nutella and Red Berry Dessert Tacos,"['taco','flour','sugar','cinnamon','butter','bitters','hazelnuts','filling','cream','sugar','cream','cola','additional ingredients','strawberries','raspberries']"
Tropical Dessert Tacos,"['taco','flour','sugar','cinnamon','butter','coconut','coconut','filling','mango','apple','kiwi','lime','cream','coconut','salt','rum']"
Down-Home Taco Casserole,"['beef','tomato','salsa','milk','carrot','corn','chili','cheddar']"
Deep-Dish Taco Pizza,"['rum','onion','tomato','tea','pizza crust','cooking spray','mozzarella','salsa','cream']"
Cheesy Chicken Taco Casserole,"['chicken','salt','pasta','corn','cilantro','monterey jack','tomato']"
Goat Tacos,"['lamb','salt','onion','clove','chile','chile','chile','gin','clove','tomato','corn','oregano','cumin','cucumber','onion','lime','basil','salt','chile','corn']"
Duck Carnitas Tacos,"['duck','salt','lard','chile','bay leaf','cinnamon','clove','annatto','corn','oregano','orange','garlic','lime','honey','salt','radishes','onion','mint','tarragon','chile','flour']"
Short Rib Tacos With Cilantro-Lime Slaw,"['cabbage','salt','clove','adobo sauce','sugar','vinegar','pepper','beef','oil','onion','lime','avocado','tortilla','cilantro']"
Vegetarian Bean Chili,"['onion','clove','cilantro','adobo sauce','tomato','beans','gin','chili','tomato','salt','tortilla','lime','avocado','cream','pepper']"
Chicken Tinga Tostadas With Black Beans,"['onion','clove','chile','tomato','chili','chicken','salt','bacon','beans',' tostadas','queso fresco','cilantro']"
Cauliflower Tacos,"['chile','garlic','almond','lime','salt','clove','grapes','cumin','paprika','cauliflower','salt','corn','onion','avocado']"
Jerk Turkey Shepherd’s Pie,"['salt','onion','clove','thyme','bay leaves','cinnamon','marinade','giblets','flour','salt','vegetable shortening','butter','potato','salt','halfandhalf','butter','thyme','lime','pepper','chile','clove','jerk seasoning','butter','chicken','flour','paprika','halfandhalf','cranberry sauce']"
Spicy Tuna Tacos,"['tomato','scallions',' jalapenos','cilantro','lime','oil','salt','pepper','chili','yogurt','coriander','tuna','lettuce','taco','avocado']"
Steak and Vegetable Tacos,"['beef','ketchup','soy sauce','salt','pepper','lettuce','tomato','avocado','tea','scallions','oil','mayonnaise','ale','taco']"
Tandoori Chicken Tacos,"['black beancanned, rinse and drain','beans','tomato','chile','onion','cilantro','oil','sugar','tea','chicken','tea','tortilla','scallions','avocado','cilantro','cream']"
Tacos with Bean and Corn Filling,"['tomato','onion','garlic','oil','beans','corn','tomato','ketchup','salt','pepper','chili','lettuce']"
Chicken and Vegetable Tacos,"['avocado','garlic','salt','lime','tomato','shallot','cayenne','chicken','scallions','tomato','lettuce','onion','tea','salt','pepper','oil','tortilla','cilantro']"
Beef Tacos with Guacamole,"['onion','pepper','oil','garlic','beef','tomato','tea','cumin','paprika','salt','pepper','lettuce','tomato','taco','cheddar','cream','salsa','avocado','lime','tomato','onion','pepper','salt','cilantro']"
Baja Fish Tacos with Cabbage,"['mayonnaise','crème fraiche','tea','wine','cabbage','cabbage','carrot','apple','cod','lime','tortilla']"
Feta Cheese Tacos,"['feta','corn','tomato','pepper','lemon','dill','yogurt','salt','pepper','taco']"
Turkey Tacos,"['taco','leek','turkey','oil','salt','tomato','basil','cayenne']"
Spicy Mexican Gratin with Beef,"['oil','onion','clove','beef','tomato','cumin','olives','pepper','chile','corn','tomato','beans','mozzarella','salt','pepper']"
Chili Beef Corn Tacos,"['oil','onion','tomato','beef','chili','oregano','chile','tomato','beans','cola','salt','pepper','taco']"
Corn Tacos with Beef Filling,"['oil','chile','onion','garlic','beef','tomato','cayenne','paprika','oregano','tomato','parsley','taco','lettuce','cheddar','lime']"
Griddled Mexican Tacos,"['onion','clove','pepper','pork','oil','onion','clove','pepper','cilantro','lime','corn','onion','cilantro','apple','lime']"
Mexican Seafood Tacos,"['flour','baking powder','tea','flour','avocado','lime','corn','chicken','oil','prawn','arugula']"
Mexican Corn Tacos,"['avocado','tomato','onion','lime','cilantro','oil','chicken','taco','corn','carrot','lettuce','cream','salt','pepper','pepper']"
Red Bean Chili with Tacos,"['beans','corn','chile','oil','shallot','clove','tomato','vegetable stock','salt','cayenne','cumin','taco']"
White Fish Tacos,"['ice','lime','clove','taco','shallot','avocado','cucumber','oil','parsley','spinach']"
Classic Beef Tacos,"['tomato','lettuce','beef','butter','cheddar','salt','pepper','corn']"
Crispy Fish Tacos,"['tilapia','lime','oil','flour','egg','rum','salt','pepper','cream','adobo sauce','lime','cumin','chili','old bay seasoning','salt','pepper','cabbage','tomato','avocado','lime','flour']"
Quick Breakfast Tacos,"['sage','pepper','egg','milk','butter','corn','avocado','cheddar','tomato']"
Filled Tacos,"['oil','chicken','lime','lemon','onion','garlic','tea','bay leaf','corn','lettuce','tomato','cheddar','salsa','cream']"
"Soya Mince, Mushroom and Pepper Tacos","['oil','carrot','onion','mushroom','tomato','tea','tomato','rum','salt','pepper','oil','vinegar','tea','mushroom','pepper','pepper','taco','scallions','cilantro','tomato']"
Vegetarian Tacos,"['pepper','pepper','pepper','oil','tofu','cayenne','paprika','corn','cilantro','arugula']"
Courgette and Squash Tacos,"['gin','zucchini','squash','shallot','garlic','salt','pepper','nonstick cooking spray','corn','cream','scallions']"
Shredded Veggie and Chicken Tacos,"['corn','chicken','tea','cumin','chili','oil','chile','monterey jack','lettuce','tomato','oil']"
Beef and Corn Corn Tacos,"['oil','onion','beef','ketchup','corn','salt','pepper','chili','lettuce','corn','peanuts']"
Mexican Chicken and Tomato Tacos,"['oil','chicken','salt','pepper','water','salsa','taco','taco','lettuce','tomato','cheddar','olives','cream']"
Cheesy Tacos with Chicken,"['oil','chicken','salt','pepper','water','salsa','taco','flour','lettuce','tomato','cheddar','olives','cream']"
Fusion Steak Tacos,"['tea','soy sauce','oil','sugar','scallions','salsa','tea','flour','scallions','cilantro','lime']"
Beef Tacos with Salsa,"['beef','shallot','tomato','melon','cilantro','sugar','lime','salt','cayenne','taco']"
Vegetarian Tacos with Spicy Sauce,"['taco','beans','onion','tomato','parsley','tomato','garlic','chile','pepper','corn','lime','honey','salt']"
Pork Tacos,"['paprika','sugar','mustard powder','salt','chili','cumin','pepper','garlic','cayenne','pork','avocado','lime','tortilla','lettuce','chile','cilantro','lime']"
Corn Tacos with Chicken,"['avocado','onion','chile','yogurt','cilantro','lime','oil','garlic','paprika','chicken','lettuce','tomato','corn','cheese','tomato']"
Marinated Shrimp Tacos with Corn and Salsa,"['shrimp','garlic','tea','chili','cayenne','cumin','oil','salt','avocado','tomato','corn','pepper','beans','onion','cilantro','chili','tea','lime','cumin','salt','pepper','tomatillohusk removed','onion','garlic','chili','cilantro','oregano','cumin','salt','water','flour','avocado']"
Vegetarian Tacos,"['gin','onion','corn','beans','tomato','cilantro','taco','lettuce','tomato','monterey jack']"
Baja-style Catfish & Cabbage Tacos,"['butter','cabbage','salt','pepper','onion','wine','wine','molasses','corn','chili','scallions','garlic','cilantro','lime','oil','salt','pepper','cheese','fish','salt','pepper','cumin','cajun seasoning','oil','onion','flour','lime']"
Fish Tacos with Tomatoes and Guacamole,"['halibut','salt','pepper','chipotle powder','cumin','oregano','cilantro','oil','corn','guacamole','tomato','lime']"
Beef and Poblano Chili Tacos,"['beef','onion','chili','ice','onion','garlic','chili','tea','cumin','oregano','corn','tea','water','taco','cheese','scallions','cilantro','lime']"
Shrimp and Mango Salsa Soft Tacos,"['mango','pepper','cilantro','onion','lime','lemon','salt','pepper','shrimp','lime','creole seasoning','clove','cilantro','corn','oil','lettuce','cabbage','tortilla','lime']"
Chicken Tacos,"['taco','romaine','onion','lemon','cheddar','chicken','salt','pepper','oil','chili','cayenne','pepper']"
Beef Tacos with Guacamole,"['tomato','clove','scallions','oil','beef','salt','pepper','avocado','lime','cream','cayenne','taco','cilantro']"
"Tacos with Salsa, Beans and Avocado","['taco','onion','cilantro','tomato','cucumber','avocado','beans','honey','chili','lemon','salt','cayenne']"
Beef Tacos with Salsa,"['onion','oil','beef','salt','pepper','tomato','chile','onion','oil','garlic','tomato','salt','pepper','onion','cheddar','lettuce','olives','taco']"
Chicken and Avocado Tacos,"['scallions','taco','tomato','chicken','avocado','lime','mayonnaise','chili','oil','salt','pepper','lime','mint']"
Turkey Tacos with Peanut Sauce,"['tomato','onion','clove','chile','oil','ice','cinnamon','peanuts','chicken','romaine','scallions','turkey','sherry','salt','taco']"
"Tacos with Fish, Avocado and Tomato","['tomato','sugar','tea','salt','tabasco sauce','avocado','lettuce','cod','pepper','oil','tortilla']"
"""Mexican"" Tacos with Tuna Salad","['flour','tea','butter','flour','pepper','tomato','avocado','lime','cilantro','tuna','salt','pepper','tabasco sauce']"
Tacos,"['pepper','ham','tomato','corn','avocado','lemon','mayonnaise','taco','salt','pepper','taco','lettuce']"
,['']
,['']
Vegan Quesadillas,"['pepper','chile','scallions','avocado','corn','cilantro','tortilla','cheese','chili']"
Turkey Quesadillas,"['tomato','onion','garlic','olives','turkey','oil','cilantro','salt','chili','tortilla','tortilla','mozzarella','cheddar']"
Savory Goat Cheese Quesadillas,"['clove','olives','chile','oil','lemon','tortilla']"
Quesadillas,"['chicken',' jalapenos','gouda','cheddar','cilantro','scallions','tortilla']"
Quesadillas,"['corn','flour','salt','oil','water','beef','pepper','scallions','oil','garlic','salt','pepper','onion','pepper','avocado','lime','cilantro','salt','pepper','mayonnaise']"
Microwave Cheese Quesadillas,"['gouda','cilantro',' scallion','pepper','chile','tortilla','salt','pepper','cumin']"
Quesadillas with Lime and Parsley,"['oil','flour','cheese','scallions','tomato','avocado','lettuce','parsley','lime','parsley']"
Mozzarella Quesadillas with Tomato Relish,"['tomato','onion','clove','chile','oil','tomato','wine','vinegar','salt','sugar','mozzarella','basil','tortilla','tomato','pepper']"
Veggie Quesadillas,"['fat','tortilla','cheese','spinach','salt','pepper']"
Cheesy Chicken Quesadillas,"['tortilla','beancanned','pepper','chicken','cheddar','scallions','salt','pepper']"
Tomato Salsa with Salami Quesadillas,"['tomato','onion','garlic','oil','lime','salt','pepper','flour','salami','cheddar']"
Simple Chicken and Pepper Quesadillas,"['oil','clove','onion','chile','pepper','mushroom','salt','pepper','flour','cheese','chicken']"
Cheesy Mexican Quesadillas,"['chicken','scallions','cumin','salt','flour','butter','monterey jack','avocado','onion','pepper','lemon','tea','tea','tomato']"
Poblano and Cheese Quesadillas,"['avocado','onion','pepper','lemon','tea','tea','tomato','scallions','cilantro','cumin','salt','pepper','butter','flour','monterey jack','chili']"
Mixed Cheese and Avocado Quesadillas,"['tomato','scallions','garlic','oil','lime','salt','pepper','chile','avocado','onion','cilantro','lemon','oil','salt','pepper','tortilla','manchego','lime']"
Seared Steak Quesadillas,"['tea','salt','pepper','oil','pepper','onion','garlic','cilantro','flour','cheddar','salsa']"
Shrimp Quesadillas with Avocado Crema,"['avocado','lemon','garlic','cilantro','chile','onion','salt','pepper','cayenne','cumin','tomato','onion','garlic','cilantro','oil','lime','salt','pepper','cheese','chile','scallions','tomato','shrimp','flour','butter','chili','paprika']"
Grilled Quesadillas with Feta Cheese and Tomatoes,"['tomato','shallot','parsley','lemon','salt','pepper','oil','feta','tortilla','guacamole']"
Salmon Quesadillas,"['corn','flour','salt','water','salmon','orange','oil','pepper','salmon','ice']"
Cheese and Onion Quesadillas,"['scallions','chile','garlic','oil','flour','manchego']"
"Arugula, Potato and Cheese Quesadillas","['potato','arugula','tortilla','cheddar','salt','pepper','oil']"
Chicken Quesadillas with Spicy Mango Relish,"['tortilla','taco','chicken','scallions','parsley','chili','cheddar','mango','oil','clove','chile','creme fraiche','salt','sugar']"
Cheese Quesadillas,"['tortilla','oil','cheddar']"
Enchiladas with Scrambled Eggs and Guacamole,"[' enchiladas','ham','egg','milk','pepper','scallions','paprika','butter','salt','pepper','onion','beef','pepper','avocado','lime','cilantro','salt','pepper']"
Smart Turkey Enchiladas,"['oil','turkey','taco','water','salsa','tea','tea','scallions','coleslawshredded','jalapeno','ice','tortilla','cheese','cream']"
Chile Enchilada Casserole,"['onion','clove','oil','beef','beans','cumin','salt','pepper','cream','gravy','parsley','parsley','cream','cheese',' small jar jalapeno',' enchiladas']"
Bean and Corn Enchiladas,"['dried, brown snake bean','salt','tomato','clove','shallot','celery','feta','tortilla','cream','pepper','oil','corn','cayenne','butter','parsley']"
Mexican Lime Soup,"['chicken','salt','clove','oil','corn','chicken','oregano','cilantro','tortilla',' jalapenosfrom a jar','tomato','scallions','avocado','lime']"
Baked Veggie Enchiladas,"['flour','tea','oil','water','scallions','cheese','crème fraiche','garlic','salt','pepper','curry powder','oil','celery','chile','tomato','corn','basil','cheese','pepper','mayonnaise','cream','salt','cayenne','basil']"
Enchiladas Au Gratin,"['oil','onion','garlic','chicken','tomato','chicken','corn','beans','cayenne','tortilla','tomato','cheddar','cilantro','salt','pepper']"
Smothered Chicken Enchiladas,"['cream','cream','salsa','cheese','chicken','corn','cumin','cayenne','salt','pepper','scallions','tortilla']"
Mexican Enchiladas,"['onion','pepper','pepper','oil','garlic','beans','corn','chile','taco','cilantro','tomato','tortilla','enchilada sauce','cheese','cream']"
Beef Enchilada,"['onion','garlic','oil','ground meat','beans','corn','salt','pepper','chili','tomato','salsa','tortilla','bacon','cheddar','cream']"
Chicken Enchiladas,"['chicken','chile','garlic','cumin','coriander','bay leaf','broth','salt','pepper','fat','cream','cinnamon','tortilla','milk','oil','tea','lime','cilantro','chili']"
Vegetable Enchiladas,"['tortilla','cucumber','avocado','lemon','salt','pepper','garlic','creme fraiche','paprika','scallions','beans','vinegar','oil']"
Vegetable Enchiladas,"['flour','tea','oil','water','scallions','cream','creme fraiche','garlic','salt','pepper','curry','oil','celery','chile','tomato','corn','basil','cheese']"
Enchiladas with Chicken and Vegetable Filling,"['corn','flour','salt','water','chicken','salt','pepper','cayenne','oil','pepper','onion','cream']"
Chicken Enchiladas with Olives,"['ice','salt','scallions','corn','peas','broth','salt','paprika','turmeric','chicken','chicken','onion','clove','chile','tomato','pepper','corn','tomato','tabasco sauce','salt','pepper','paprika','chili','tortilla','baking dish','mozzarella','olives','parsley']"
Chili Con Carne Enchiladas with Avocado Salsa,"['oil','pork','clove','cumin','chili','beans','tomato','tortilla','cheddar','avocado','scallions','tomato','lemon','cilantro','salt','pepper']"
Chicken Enchiladas,"['flour','salt','parsley','chicken','pepper','onion','garlic','oil','tomato','salt','pepper','creme fraiche','lemon','avocado']"
Baked Zucchini and Cheese Enchiladas,"['corn','salt','flour','egg','milk','tomato','onion','clove','pepper','oil','zucchini','pepper','oregano','mozzarella','cheese','cream','oil']"
Enchiladas,"['flour','salt','oil','water','lemon','apple','onion','clove','almond','oil','beef','chili','cinnamon','tomato','raisins','salt','pepper','avocado','cream','tabasco sauce','scallions']"
Vegetable Enchiladas,"['corn','flour','salt','water','carrot','snow pea','mushroom','pepper','tomato','bean sprout','lemon','oil','tabasco sauce','salt','pepper']"
Enchiladas with Cheese Sauce,"['onion','garlic','chile','oil','ground meat','cilantro','pepper','tomato','tomato','salt','pepper','cumin','tortilla','manchego','broth','milk','creme fraiche','corn','lime']"
Palmeni (Russian Style Dumplings),"['beef','bacon','sage','butter','shallot','roll','milk','spinach','egg','carrot','leek','salt','pepper','nutmeg','egg','onion','flour','egg']"
Walnut-Bread Dumplings with Mushroom Ragout,"['milk','roll','onion','parsley','butter','walnut','egg','flour','salt','pepper','nutmeg','leek','carrot','shallot','mushroom','thyme','oil','broth']"
Bulgur Herb Kale Salad with Falafel,"['hummus','cilantro','peas','roll','scallions','garlic','baking powder','parsley','cilantro','cumin','salt','cayenne','rum','oil','bulgur','tomato','cucumber','ale','cabbage','dandelion greens','mint','lemon','salt','pepper','sugar','oil']"
Spicy Prawn Wontons and Chilli Sauce,"['flour','tea','egg','water','cilantro','prawn','gin','garlic','lime','fish','tea','corn','oil','mixed greens','chili']"
Tuna Ginger Dumplings,"['tuna','gin','garlic','chile','lime','sesame seeds','soy sauce','wonton wrappers','oil']"
Vegetable Soup,"['milk','butter','flour','egg','salt','nutmeg','dried fruit','celery','parnsip','carrot','leek','thyme','broth','bay leaves','tarragon','parsley','peas','pepper','ice','ham']"
Apricot Yeast Dumplings with Berry Sauce,"['flour','yeast','sugar','milk','lemon','butter','oil','salt','apricots','mixed berries','honey','cinnamon','tea']"
Vegan Savoy Cabbage Roulades,"['cabbage','onion','oil','apple','clove','cinnamon','carrot','lentils','broth','ice','salt','pepper','cabbage',' dayold wholewheat buns','milk','parsley','corn','nutmeg','prunes','butter','cinnamon']"
Sticky Rice Coconut Balls,"['ice','turmeric','sugar','coconut','coconut','flour','flour','water','coconut']"
Falafel,"['peas','bread','onion','clove','cilantro','cumin','tea','pepper','flour','baking powder','rum','oil','tomato']"
Classic Goulash with Bread Dumplings,"['onion','potato','beef','salt','pepper','butter','tomato','paprika','paprika','tea','beef','roll','milk','shallot','butter','bacon','parsley','egg','nutmeg']"
Vegetable Lentil Patties and Bulgur Salad,"['bulgur','tomato','scallions','pepper','parsley','mint','tomato','cumin','paprika','salt','pepper','lemon','oil','shallot','pepper','butter','lentils','bulgur','tomato','pepper','ice','pepper','pepper','parsley','mint']"
Butternut Squash Chili with Meatballs,"['beef','onion','garlic','cumin','cilantro','cayenne','salt','cilantro','flour','oil','salt','butter','pepper','oil','onion','clove','chile','thyme','salt','pepper','mint']"
Fried Cheese Balls with Wild Garlic,"['roll','milk','cream','egg','cheese','onion','potato','salt','pepper','garlic','flour','butter','oil']"
Vegetable and Dumpling Gratin,"['bread','kohlrabi','carrot','chile','rosemary','milk','cream','butter','flour','salt','pepper','nutmeg','butter','cheese']"
Rhubarb Dumplings,"['potato','salt','rhubarb','grenadine','sugar','quark','egg','sugar','butter','vanilla','flour','butter','rum','sugar','cinnamon']"
"Creamy Baked Ravioli with Tomatoes, Mushrooms and Ham","['tomato','onion','mushroom','oil','ravioli','ham','oil','cream','egg','salt','pepper','nutmeg','ale']"
Sweet Bread with Vanilla Custard,"['milk','vanilla','egg','sugar','corn','flour','yeast','sugar','milk','butter','tea','egg','tea','lemon','butter','sugar']"
Turkish Dumplings with Yogurt Sauce,"['flour','butter','egg','salt','lamb','onion','parsley','paprika','yogurt','lemon','butter','paprika']"
Egg Dumpling and Vegetable Soup,"['egg','cream','onion','salt','pepper','butter','leek','carrot','celery','broth']"
Falafel with Fresh Salad,"['romaine','tomato','cucumber','onion','mint','parsley','lemon','oil','sugar','salt','pepper','salt','pepper','oil']"
Stuffed Turkey Breast,"['butter','salt','pepper','mushroom','apple','bacon','sauerkraut','curry powder','oil','butter','apple','sugar']"
Tortellini Casserole with Ham and Scallions,"['mushroom','ham','scallions','oil','tortellini','salt','cream','creme fraiche','mozzarella','egg','pepper','nutmeg','parmesan','rum']"
"Roast Turkey with Cranberries, Oranges and Sage","['giblets','salt','pepper','lemon','onion','butter','parsley','bread','milk','egg','sage','tea','chicken','cranberries','orange','onion','sage']"
Spinach Stuffed Pockets,"['spinach','milk','yeast','salt','parsley','flour','corn','potato','onion','pine nuts','oil','paprika','pepper','cheese','feta','milk']"
Pasta Sauce with Leeks,"['leek','rosemary','garlic','sage','oil','tea','wine','broth','salt','pepper','cayenne','rigatoni']"
Steamed Shrimp Dumplings,"['wonton wrappers','shrimp','lemon','scallions','gin','pepper','corn','salt','pepper','mushroom','carrot','clove','chili','soy sauce','fish','oil']"
Wild Garlic Puree with Buckwheat Dumplings,"['tomato','milk','broth','buckwheat groats','onion','potato','oil','egg','salt','cilantro','garlic','cream','lemon']"
Dumplings with Turkey and Peppers,"['yeast','flour','butter','salt','turkey','pepper','garlic','oil','butter','soy sauce','sambal oelek','tea','cucumber','apple']"
Shrimp and Zucchini Dumplings,"['potato','salt','shrimp','zucchini','garlic','egg','pepper','cayenne','lemon','oil','rosemary']"
Steamed Chinese Shrimp,"['shrimp','scallions','gin','clove','egg','corn','salt','soy sauce','cayenne','bok choy']"
Pumpkin Ravioli with Parmesan,"['flour','egg','butter','onion','garlic','butter','pumpkin','wine','vegetable stock','flour','parmesan','nutmeg','butter','arugula']"
