Title,Ingredients,,Removed amounts and measurements,
Chef John's Ham and Cheese Calzones,"['24 ounces prepared pizza dough', '8 slices prosciutto', '2 cups ricotta cheese, drained', 'Â½ teaspoon salt', 'Â½ teaspoon freshly ground black pepper to taste', 'Â½ teaspoon cayenne pepper', '1 Â½ cups finely diced smoked ham', '4 ounces fresh mozzarella cheese, thinly sliced, drained on paper towels', '1 teaspoon extra-virgin olive oil', '1 tablespoon cornmeal', '1 egg', '1 teaspoon water', '1 tablespoon freshly grated Parmigiano-Reggiano cheese', '2 cups marinara sauce for dipping, heated']",,"['prepared pizza dough', ' slices prosciutto', 'ricotta cheese, drained', 'salt', 'freshly ground black pepper to taste', 'cayenne pepper', ' finely diced smoked ham', 'fresh mozzarella cheese, thinly sliced, drained on paper towels', 'extra-virgin olive oil', 'cornmeal', ' egg', 'water', 'freshly grated Parmigiano-Reggiano cheese', 'marinara sauce for dipping, heated']",
BBQ Chicken Calzones,"['4 slices bacon', 'Â½ small onion, chopped', '3 cups shredded, cooked chicken breast meat', 'â…” cup barbeque sauce', '1 (10 ounce) can refrigerated pizza crust dough', '1 cup shredded mozzarella cheese', '2 tablespoons chopped fresh cilantro']",,"[' slices bacon', ' small onion, chopped', 'shredded, cooked chicken breast meat', 'barbeque sauce', ' can refrigerated pizza crust dough', 'shredded mozzarella cheese', 'chopped fresh cilantro']",
"Sausage, Spinach and Ricotta Calzone","['1 Â½ cups all-purpose flour, or more if needed', ""1 envelope Fleischmann'sÂ® Pizza Crust Yeast"", '1 teaspoon sugar', 'Â¾ teaspoon salt', 'â…” cup very warm water (120 degrees to 130 degrees F)*', '1 tablespoon vegetable oil', '8 ounces Italian sausage', '2 cups fresh spinach leaves', 'Â¼ cup water', 'Â¾ cup ricotta cheese', 'Â¾ cup shredded mozzarella cheese', '1 egg', '1 teaspoon Spice IslandsÂ® Italian Herb Seasoning', 'Â½ teaspoon Spice IslandsÂ® Crushed Red Pepper', 'Â½ teaspoon Spice IslandsÂ® Garlic Salt', 'Pizza sauce OR marinara sauce']",,"[' all-purpose flour, or more if needed', "" envelope Fleischmann's® Pizza Crust Yeast"", 'sugar', 'salt', 'very warm water degrees to  degrees F', 'vegetable oil', 'Italian sausage', 'fresh spinach leaves', 'water', 'ricotta cheese', 'shredded mozzarella cheese', ' egg', 'Spice Islands® Italian Herb Seasoning', 'Spice Islands® Crushed Red Pepper', 'Spice Islands® Garlic Salt', 'Pizza sauce OR marinara sauce']",
Mushroom Cheeseburger Calzones,"['1 pound lean ground beef', '1 cup fresh mushrooms, chopped', '1 small sweet onion, diced', '1 jalapeno pepper, diced', 'Â¼ cup ketchup', '2 tablespoons prepared yellow mustard', 'salt and ground black pepper to taste', '1 (10 ounce) container refrigerated pizza dough', '12 dill pickle slices', '1 cup shredded American and Cheddar cheese blend', '2 teaspoons olive oil', '1 teaspoon sesame seeds']",,"['lean ground beef', 'fresh mushrooms, chopped', ' small sweet onion, diced', ' jalapeno pepper, diced', 'ketchup', 'prepared yellow mustard', 'salt and ground black pepper to taste', ' container refrigerated pizza dough', ' dill pickle slices', 'shredded American and Cheddar cheese blend', 'olive oil', 'sesame seeds']",
Mini Calzones with MargheritaÂ® Pepperoni,"['4 cups all purpose flour', 'Â¾ teaspoon sugar', '1 tablespoon salt', '1 tablespoon butter', '1 Â½ cups lukewarm water', '2 (.25 ounce) packages active dry yeast', '2 tablespoons olive oil', '8 ounces MargheritaÂ® pepperoni slices', '8 ounces shredded mozzarella', '8 ounces sliced mushrooms', '1 tablespoon Egg wash', '1 teaspoon Sesame seeds', '1 pinch Ground thyme']",,"['all purpose flour', 'sugar', 'salt', 'butter', ' lukewarm water', '. packages active dry yeast', 'olive oil', 'Margherita® pepperoni slices', 'shredded mozzarella', 'sliced mushrooms', 'Egg wash', 'Sesame seeds', ' pinch Ground thyme']",
Karin's Veggie Calzones,"['1 pound prepared pizza dough', 'â…“ cup chopped fresh spinach', 'â…“ cup sliced fresh mushrooms', 'â…“ cup sliced zucchini', 'â…“ cup chopped cabbage', 'â…“ cup chopped green bell pepper', 'â…“ cup seeded and sliced tomato', 'â…“ cup chopped onion', 'â…“ cup chopped sun-dried tomatoes', 'â…“ cup artichoke hearts, drained and chopped', 'â…“ cup sliced black olives', '3 cloves garlic, minced', '2 teaspoons Italian seasoning', 'salt and ground black pepper to taste', '1 Â½ cups shredded mozzarella cheese, divided', 'Â½ cup grated Asiago cheese, divided', '3 tablespoons olive oil', '1 cup marinara sauce for dipping']",,"['prepared pizza dough', 'chopped fresh spinach', 'sliced fresh mushrooms', 'sliced zucchini', 'chopped cabbage', 'chopped green bell pepper', 'seeded and sliced tomato', 'chopped onion', 'chopped sun-dried tomatoes', 'artichoke hearts, drained and chopped', 'sliced black olives', ' cloves garlic, minced', 'Italian seasoning', 'salt and ground black pepper to taste', ' shredded mozzarella cheese, divided', 'grated Asiago cheese, divided', 'olive oil', 'marinara sauce for dipping']",
Quick Spinach-Ricotta Calzones,"['1 (11.3 ounce) can refrigerated dinner rolls, at room temperature', 'Cornmeal for rolling', '2 tablespoons olive oil', '1 medium onion, finely chopped', '2 (10 ounce) packages frozen chopped spinach, thawed and squeezed dry', '2 large garlic cloves, minced', 'Â¼ teaspoon ground nutmeg', 'Salt and pepper, to taste', '1 cup ricotta cheese', '1 cup grated mozzarella cheese', 'Â¼ cup Parmesan cheese', 'Olive oil, for brushing', 'Your favorite marinara-style pasta sauce']",,"['. can refrigerated dinner rolls, at room temperature', 'Cornmeal for rolling', 'olive oil', ' medium onion, finely chopped', ' packages frozen chopped spinach, thawed and squeezed dry', ' large garlic cloves, minced', 'ground nutmeg', 'Salt and pepper, to taste', 'ricotta cheese', 'grated mozzarella cheese', 'Parmesan cheese', 'Olive oil, for brushing', 'Your favorite marinara-style pasta sauce']",
"Broccoli, Pepperoni and Three Cheese Calzones","['2 Â¼ teaspoons active dry yeast', '1 Â½ cups warm water (110 degrees F/45 degrees C)', '4 cups all-purpose flour', '1 teaspoon salt', '1 Â½ teaspoons white sugar', '1 tablespoon olive oil', '1 teaspoon salt', '1 Â½ heads fresh broccoli', 'â…” cup shredded provolone cheese', 'â…“ cup shredded mozzarella cheese', 'Â¼ cup grated Parmesan cheese', '1 clove garlic, minced', '1 cup diced pepperoni', 'Â¼ cup olive oil', 'salt and pepper to taste', '1 egg, beaten', '1 tablespoon water', '2 tablespoons cornmeal']",,"[' active dry yeast', ' warm water degrees F degrees C', 'all-purpose flour', 'salt', ' white sugar', 'olive oil', 'salt', '  heads fresh broccoli', 'shredded provolone cheese', 'shredded mozzarella cheese', 'grated Parmesan cheese', ' clove garlic, minced', 'diced pepperoni', 'olive oil', 'salt and pepper to taste', ' egg, beaten', 'water', 'cornmeal']",
Unbelievable Spinach Calzones,"['1 (15 ounce) container ricotta cheese', '2 eggs', '2 tablespoons dried Italian seasoning', '3 cups shredded mozzarella cheese', '1 cup freshly grated Parmesan cheese', '1 (10 ounce) package frozen chopped spinach, thawed and squeezed dry', 'salt and pepper to taste', '1 (32 ounce) package frozen white bread dough, thawed']",,"[' container ricotta cheese', ' eggs', 'dried Italian seasoning', 'shredded mozzarella cheese', 'freshly grated Parmesan cheese', ' package frozen chopped spinach, thawed and squeezed dry', 'salt and pepper to taste', ' package frozen white bread dough, thawed']",
Quick Sausage and Bell Pepper Calzones,"['1 (11.3 ounce) can refrigerated dinner rolls, at room temperature', 'Cornmeal for rolling', '1 pound spicy Italian sausage, removed from its casing', 'Olive oil, for sauteing, if necessary', '1 medium onion, finely chopped', 'Â½ large yellow bell pepper, cored and seeded, cut into small dice', 'Â½ large red bell pepper, cored and seeded, cut into small dice', '2 large garlic cloves, minced', '1 cup grated mozzarella cheese', 'Â¼ cup grated Parmesan cheese', '2 tablespoons minced fresh parsley', 'Olive oil, for brushing', 'Your favorite marinara-style pasta sauce']",,"['. can refrigerated dinner rolls, at room temperature', 'Cornmeal for rolling', 'spicy Italian sausage, removed from its casing', 'Olive oil, for sauteing, if necessary', ' medium onion, finely chopped', ' large yellow bell pepper, cored and seeded, cut into small dice', ' large red bell pepper, cored and seeded, cut into small dice', ' large garlic cloves, minced', 'grated mozzarella cheese', 'grated Parmesan cheese', 'minced fresh parsley', 'Olive oil, for brushing', 'Your favorite marinara-style pasta sauce']",
Pepperoni Stromboli,"['2 (1 pound) loaves frozen bread dough, thawed', 'Â½ cup spaghetti sauce', 'Â½ teaspoon dried oregano', '4 ounces sliced pepperoni sausage', '2 cups shredded mozzarella cheese', 'â…“ cup grated Parmesan cheese']",,"[' pound loaves frozen bread dough, thawed', 'spaghetti sauce', 'dried oregano', 'sliced pepperoni sausage', 'shredded mozzarella cheese', 'grated Parmesan cheese']",
Ham and Cheese Stromboli,"['2 (16 ounce) packages refrigerated pizza crust dough', '1 (28 ounce) jar spaghetti sauce', 'Â¼ pound cooked ham, sliced', 'Â¼ pound Capacola sausage, sliced', 'Â¼ pound salami, sliced', 'Â¼ pound pepperoni sausage, sliced', 'garlic powder to taste', 'Â¼ pound mozzarella cheese, shredded', '1 onion, sliced', '6 mushrooms, sliced', '1 green bell pepper, sliced']",,"[' packages refrigerated pizza crust dough', ' jar spaghetti sauce', 'cooked ham, sliced', 'Capacola sausage, sliced', 'salami, sliced', 'pepperoni sausage, sliced', 'garlic powder to taste', 'mozzarella cheese, shredded', ' onion, sliced', ' mushrooms, sliced', ' green bell pepper, sliced']",
Lasagna,"['Â¼ cup olive oil', '1 onion, chopped', '1 bay leaf', '2 cloves garlic, chopped', '2 teaspoons dried oregano', '2 teaspoons dried basil', '1 (14.5 ounce) can crushed tomatoes', '1 (29 ounce) can diced tomatoes', '1 pinch ground cinnamon', '1 (16 ounce) package lasagna noodles', '1 pint part-skim ricotta cheese', '2 eggs, beaten', 'Â½ cup grated Parmesan cheese', '2 teaspoons dried basil', '1 clove garlic, minced', '2 tablespoons olive oil', '1 onion, sliced', '1 pound fresh mushrooms, sliced', '1 pound spinach, rinsed and chopped', '2 medium zucchini, sliced', '1 pound mozzarella cheese, sliced', '1 cup grated Parmesan cheese']",,"['olive oil', ' onion, chopped', ' bay leaf', ' cloves garlic, chopped', 'dried oregano', 'dried basil', '. can crushed tomatoes', ' can diced tomatoes', ' pinch ground cinnamon', ' package lasagna noodles', 'part-skim ricotta cheese', ' eggs, beaten', 'grated Parmesan cheese', 'dried basil', ' clove garlic, minced', 'olive oil', ' onion, sliced', 'fresh mushrooms, sliced', 'spinach, rinsed and chopped', ' medium zucchini, sliced', 'mozzarella cheese, sliced', 'grated Parmesan cheese']",
World's Best Lasagna,"['1 pound sweet Italian sausage', 'Â¾ pound lean ground beef', 'Â½ cup minced onion', '2 cloves garlic, crushed', '1 (28 ounce) can crushed tomatoes', '2 (6 ounce) cans tomato paste', '2 (6.5 ounce) cans canned tomato sauce', 'Â½ cup water', '2 tablespoons white sugar', '1 Â½ teaspoons dried basil leaves', 'Â½ teaspoon fennel seeds', '1 teaspoon Italian seasoning', '1 Â½ teaspoons salt, divided, or to taste', 'Â¼ teaspoon ground black pepper', '4 tablespoons chopped fresh parsley', '12 lasagna noodles', '16 ounces ricotta cheese', '1 egg', 'Â¾ pound mozzarella cheese, sliced', 'Â¾ cup grated Parmesan cheese']",,"['sweet Italian sausage', 'lean ground beef', 'minced onion', ' cloves garlic, crushed', ' can crushed tomatoes', ' cans tomato paste', '. cans canned tomato sauce', 'water', 'white sugar', ' dried basil leaves', 'fennel seeds', 'Italian seasoning', ' salt, divided, or to taste', 'ground black pepper', 'chopped fresh parsley', ' lasagna noodles', 'ricotta cheese', ' egg', 'mozzarella cheese, sliced', 'grated Parmesan cheese']",
American Lasagna,"['1 Â½ pounds lean ground beef', '1 onion, chopped', '2 cloves garlic, minced', '1 tablespoon chopped fresh basil', '1 teaspoon dried oregano', '2 tablespoons brown sugar', '1 Â½ teaspoons salt', '1 (29 ounce) can diced tomatoes', '2 (6 ounce) cans tomato paste', '12 dry lasagna noodles', '2 eggs, beaten', '1 pint part-skim ricotta cheese', 'Â½ cup grated Parmesan cheese', '2 tablespoons dried parsley', '1 teaspoon salt', '1 pound mozzarella cheese, shredded', '2 tablespoons grated Parmesan cheese']",,"[' lean ground beef', ' onion, chopped', ' cloves garlic, minced', 'chopped fresh basil', 'dried oregano', 'brown sugar', ' salt', ' can diced tomatoes', ' cans tomato paste', ' dry lasagna noodles', ' eggs, beaten', 'part-skim ricotta cheese', 'grated Parmesan cheese', 'dried parsley', 'salt', 'mozzarella cheese, shredded', 'grated Parmesan cheese']",
Eggplant Lasagna,"['1 teaspoon olive oil for brushing', '2 eggs', '2 tablespoons water', '1 cup grated Parmesan cheese', '1 cup Italian-seasoned breadcrumbs', 'salt and ground black pepper to taste', '2 large eggplants, peeled and sliced into 1/2-inch rounds', '2 tablespoons olive oil', '1 pound ground beef', '48 ounces chunky tomato sauce (such as PregoÂ®)', '2 cups shredded mozzarella cheese']",,"['olive oil for brushing', ' eggs', 'water', 'grated Parmesan cheese', 'Italian-seasoned breadcrumbs', 'salt and ground black pepper to taste', ' large eggplants, peeled and sliced into -inch rounds', 'olive oil', 'ground beef', 'chunky tomato saucesuch as Prego®', 'shredded mozzarella cheese']",
Creamy Chicken Lasagna,"['3 skinless, boneless chicken breast halves', '6 uncooked lasagna noodles', '1 cube chicken bouillon', 'Â¼ cup hot water', '1 (8 ounce) package cream cheese, softened', '2 cups shredded mozzarella cheese', '1 (26 ounce) jar spaghetti sauce']",,"[' skinless, boneless chicken breast halves', ' uncooked lasagna noodles', ' cube chicken bouillon', 'hot water', ' package cream cheese, softened', 'shredded mozzarella cheese', ' jar spaghetti sauce']",
Deep Dish Lasagna,"['12 uncooked lasagna noodles', '1 pound sweet Italian sausage', 'â…” cup chopped onions', 'Â½ tablespoon minced garlic', 'â…” cup chopped fresh parsley, divided', '3 (6 ounce) cans tomato paste', '1 (15 ounce) can tomato sauce', '2 cups water', '1 Â½ teaspoons Italian seasoning', '1 Â½ teaspoons dried oregano', '1 Â½ teaspoons dried basil leaves', '1 pound part-skim ricotta cheese', '1 (10 ounce) package chopped spinach, thawed and squeeze dried', 'Â½ cup grated Parmesan cheese', '3 eggs', '2 teaspoons garlic salt', 'Â¼ teaspoon ground black pepper', '3 cups shredded mozzarella cheese']",,"[' uncooked lasagna noodles', 'sweet Italian sausage', 'chopped onions', 'minced garlic', 'chopped fresh parsley, divided', ' cans tomato paste', ' can tomato sauce', 'water', ' Italian seasoning', ' dried oregano', ' dried basil leaves', 'part-skim ricotta cheese', ' package chopped spinach, thawed and squeeze dried', 'grated Parmesan cheese', ' eggs', 'garlic salt', 'ground black pepper', 'shredded mozzarella cheese']",
Cajun Chicken Lasagna,"['1 (16 ounce) package lasagna noodles', '1 pound andouille sausage, quartered lengthwise and sliced', '1 pound skinless, boneless chicken breast halves - cut into chunks', '2 teaspoons Cajun seasoning', '1 teaspoon dried sage', 'Â½ cup chopped onion', 'Â½ cup chopped celery', 'Â¼ cup chopped red bell pepper', '1 tablespoon finely chopped garlic', '2 (10 ounce) containers Alfredo Sauce, divided', '1 Â½ cups shredded mozzarella cheese', 'Â½ cup grated Parmesan cheese']",,"[' package lasagna noodles', 'andouille sausage, quartered lengthwise and sliced', 'skinless, boneless chicken breast halves - cut into chunks', 'Cajun seasoning', 'dried sage', 'chopped onion', 'chopped celery', 'chopped red bell pepper', 'finely chopped garlic', ' containers Alfredo Sauce, divided', ' shredded mozzarella cheese', 'grated Parmesan cheese']",
Summer Lasagna,"['1 pound ground beef', 'Â½ cup chopped onion', 'Â½ cup chopped green bell pepper', 'Â¼ cup finely chopped carrots', '2 cloves garlic, minced', '1 (15 ounce) can tomato sauce', 'Â½ teaspoon dried oregano', 'Â½ teaspoon dried basil', 'salt and pepper to taste', '5 medium zucchini, sliced lengthwise into 1/4-inch thick strips.', '1 cup cottage cheese', '1 egg, beaten', 'Â¾ cup shredded mozzarella cheese', 'Â¼ cup grated Parmesan cheese']",,"['ground beef', 'chopped onion', 'chopped green bell pepper', 'finely chopped carrots', ' cloves garlic, minced', ' can tomato sauce', 'dried oregano', 'dried basil', 'salt and pepper to taste', ' medium zucchini, sliced lengthwise into -inch thick strips.', 'cottage cheese', ' egg, beaten', 'shredded mozzarella cheese', 'grated Parmesan cheese']",
Skillet Spinach Lasagna,"['1 pound Italian sausage roll', '8 lasagna noodles, broken into pieces', '1 (28 ounce) can crushed tomatoes', '1 (8 ounce) can tomato sauce', '2 cups torn fresh spinach', 'Â½ cup ricotta cheese', '4 ounces fresh mozzarella cheese, sliced', 'Â¼ cup grated Parmesan cheese']",,"['Italian sausage roll', ' lasagna noodles, broken into pieces', ' can crushed tomatoes', ' can tomato sauce', 'torn fresh spinach', 'ricotta cheese', 'fresh mozzarella cheese, sliced', 'grated Parmesan cheese']",
Grandma's Best Ever Sour Cream Lasagna,"['1 (8 ounce) package lasagna noodles', 'Â½ pound ground pork sausage', 'Â½ pound ground beef', '1 clove garlic, minced', '1 (28 ounce) can diced tomatoes', '1 (8 ounce) can tomato sauce', '1 tablespoon dried parsley', 'Â½ teaspoon dried basil', 'Â½ teaspoon dried oregano', '1 pinch white sugar', '1 (16 ounce) container sour cream', '3 eggs, lightly beaten', 'Â¾ cup grated Parmesan cheese', 'Â½ cup chopped pitted green olives', '2 teaspoons salt', 'Â¼ teaspoon ground black pepper', '2 (12 ounce) packages shredded mozzarella cheese, divided']",,"[' package lasagna noodles', 'ground pork sausage', 'ground beef', ' clove garlic, minced', ' can diced tomatoes', ' can tomato sauce', 'dried parsley', 'dried basil', 'dried oregano', ' pinch white sugar', ' container sour cream', ' eggs, lightly beaten', 'grated Parmesan cheese', 'chopped pitted green olives', 'salt', 'ground black pepper', ' packages shredded mozzarella cheese, divided']",
Enchilada Lasagna,"['1 tablespoon vegetable oil', '1 onion, chopped', '3 cloves garlic, chopped', '1 Â¼ pounds ground turkey', '1 (28 ounce) can enchilada sauce', '1 (14.5 ounce) can diced tomatoes with lime juice and cilantro', '1 (16 ounce) package small-curd cottage cheese', '1 egg', '1 tablespoon ground cumin', '5 (6 inch) corn tortillas, halved', '2 cups shredded Mexican cheese blend', 'cooking spray', '1 green onion, diced']",,"['vegetable oil', ' onion, chopped', ' cloves garlic, chopped', ' ground turkey', ' can enchilada sauce', '. can diced tomatoes with lime juice and cilantro', ' package small-curd cottage cheese', ' egg', 'ground cumin', ' inch corn tortillas, halved', 'shredded Mexican cheese blend', 'cooking spray', ' green onion, diced']",
Quinoa Lasagna,"['Â¼ cup olive oil', '1 cup minced onion', '2 cloves garlic, minced', '1 pound ground beef', '2 (8 ounce) cans tomato sauce', '1 (14.5 ounce) can whole peeled tomatoes, chopped', '2 teaspoons dried oregano', '1 teaspoon salt', '3 cups cooked quinoa, divided', '1 (8 ounce) container ricotta cheese', '4 ounces shredded mozzarella cheese', '4 ounces grated Parmesan cheese']",,"['olive oil', 'minced onion', ' cloves garlic, minced', 'ground beef', ' cans tomato sauce', '. can whole peeled tomatoes, chopped', 'dried oregano', 'salt', 'cooked quinoa, divided', ' container ricotta cheese', 'shredded mozzarella cheese', 'grated Parmesan cheese']",
Passover Lasagna,"['1 (10 ounce) package matzo sheets', '1 quart tomato sauce', 'salt and pepper to taste', '1 (8 ounce) package sliced Swiss cheese', '2 cups shredded mozzarella cheese', 'Â¼ cup grated Parmesan cheese', '1 teaspoon dried oregano']",,"[' package matzo sheets', 'tomato sauce', 'salt and pepper to taste', ' package sliced Swiss cheese', 'shredded mozzarella cheese', 'grated Parmesan cheese', 'dried oregano']",
Donna's Lasagna,"['1 pound lean ground beef', '8 ounces Italian sausage, casings removed', '1 (10.75 ounce) can tomato puree', '2 (6 ounce) cans tomato paste', '2 tablespoons white sugar', '1 teaspoon salt', '1 clove garlic, minced', '1 Â½ tablespoons dried parsley', '9 lasagna noodles', '3 cups cottage cheese', '2 eggs, beaten', 'Â½ teaspoon ground black pepper', 'Â½ cup grated Parmesan cheese', '1 Â½ tablespoons dried parsley', 'Â½ teaspoon salt', '16 ounces sliced mozzarella cheese']",,"['lean ground beef', 'Italian sausage, casings removed', '. can tomato puree', ' cans tomato paste', 'white sugar', 'salt', ' clove garlic, minced', ' dried parsley', ' lasagna noodles', 'cottage cheese', ' eggs, beaten', 'ground black pepper', 'grated Parmesan cheese', ' dried parsley', 'salt', 'sliced mozzarella cheese']",
Barbecue Lasagna,"['1 (16 ounce) package lasagna noodles', '2 (18 ounce) containers pulled pork in barbeque sauce', '1 (16 ounce) package shredded mozzarella cheese', '1 (16 ounce) package Cheddar cheese, shredded', '1 (16 ounce) container ricotta cheese', '1 egg, beaten', 'Â½ teaspoon salt', 'Â¼ teaspoon black pepper']",,"[' package lasagna noodles', ' containers pulled pork in barbeque sauce', ' package shredded mozzarella cheese', ' package Cheddar cheese, shredded', ' container ricotta cheese', ' egg, beaten', 'salt', 'black pepper']",
Homemade Lasagna,"['1 (16 ounce) package lasagna noodles', 'Â½ pound ground pork', 'Â½ pound lean ground beef', '1 (8 ounce) can tomato sauce', '1 (28 ounce) can crushed tomatoes', '1 tablespoon chopped fresh parsley', '1 clove garlic, crushed', 'Â½ teaspoon dried oregano', 'Â½ cup minced onion', 'â…› teaspoon white sugar', '1 Â½ teaspoons dried basil', '1 Â½ teaspoons salt', '1 pound small curd cottage cheese', '3 eggs', 'Â¾ cup grated Parmesan cheese', '2 teaspoons salt', 'Â¼ teaspoon ground black pepper', '1 pound shredded mozzarella cheese']",,"[' package lasagna noodles', 'ground pork', 'lean ground beef', ' can tomato sauce', ' can crushed tomatoes', 'chopped fresh parsley', ' clove garlic, crushed', 'dried oregano', 'minced onion', 'â…›white sugar', ' dried basil', ' salt', 'small curd cottage cheese', ' eggs', 'grated Parmesan cheese', 'salt', 'ground black pepper', 'shredded mozzarella cheese']",
Taco Lasagna with Noodles,"['11 ounces lasagna noodles', '1 pound lean ground beef', '24 ounces tomato sauce', 'Â½ cup water', '1 (1 ounce) package taco seasoning mix', '8 cups shredded Cheddar cheese', 'Â½ cup crushed tortilla chips']",,"['lasagna noodles', 'lean ground beef', 'tomato sauce', 'water', ' package taco seasoning mix', 'shredded Cheddar cheese', 'crushed tortilla chips']",
Lasagna Bolognese,"['1 pound dry lasagna noodles', '1 Â½ tablespoons olive oil, divided', '1 (28 ounce) can Italian whole peeled tomatoes (such as La ValleÂ®)', '1 onion, coarsely chopped', '2 carrots, coarsely chopped', '2 stalks celery, coarsely chopped', '3 cloves garlic, coarsely chopped', '1 tablespoon fresh sage', '1 tablespoon fresh rosemary', '2 tablespoons olive oil', '1 pound ground beef', '1 pound sweet Italian sausage links, removed from casing and crumbled', '2 tablespoons all-purpose flour', '1 cup dry red wine', 'Â¼ cup heavy cream', 'Â½ cup grated Parmesan cheese', '1 pinch ground cinnamon', '1 (16 ounce) container ricotta cheese, broken apart with a fork', '3 eggs, lightly beaten', '1 pound shredded mozzarella cheese, divided', 'kosher salt to taste', 'freshly ground black pepper to taste']",,"['dry lasagna noodles', ' olive oil, divided', ' can Italian whole peeled tomatoessuch as La Valle®', ' onion, coarsely chopped', ' carrots, coarsely chopped', ' stalks celery, coarsely chopped', ' cloves garlic, coarsely chopped', 'fresh sage', 'fresh rosemary', 'olive oil', 'ground beef', 'sweet Italian sausage links, removed from casing and crumbled', 'all-purpose flour', 'dry red wine', 'heavy cream', 'grated Parmesan cheese', ' pinch ground cinnamon', ' container ricotta cheese, broken apart with a fork', ' eggs, lightly beaten', 'shredded mozzarella cheese, divided', 'kosher salt to taste', 'freshly ground black pepper to taste']",
Lisa's Lasagna,"['1 pound lean ground beef', '1 onion, chopped', '1 green bell pepper, chopped', '1 teaspoon Italian seasoning', 'salt and pepper to taste', '2 (6 ounce) cans tomato paste', '2 Â¼ cups water', '1 pint part-skim ricotta cheese', '1 egg', '2 cups shredded mozzarella cheese', '8 lasagne noodles, cooked and drained']",,"['lean ground beef', ' onion, chopped', ' green bell pepper, chopped', 'Italian seasoning', 'salt and pepper to taste', ' cans tomato paste', ' water', 'part-skim ricotta cheese', ' egg', 'shredded mozzarella cheese', ' lasagne noodles, cooked and drained']",
Lasagna Helper,"['1 pound ground beef', '4 cups water', '3 beef bouillon cubes', '7 dry lasagna noodles, broken into pieces', '1 (10.75 ounce) can condensed tomato soup', '1 onion, chopped', '2 cloves garlic, minced', '1 Â½ tablespoons Italian seasoning', 'Â½ teaspoon ground black pepper', '1 teaspoon cornstarch', 'salt to taste']",,"['ground beef', 'water', ' beef bouillon cubes', ' dry lasagna noodles, broken into pieces', '. can condensed tomato soup', ' onion, chopped', ' cloves garlic, minced', ' Italian seasoning', 'ground black pepper', 'cornstarch', 'salt to taste']",
Missy's Lasagna,"['1 pound lean ground beef', '1 onion, chopped', '1 green bell pepper, chopped', '1 (15 ounce) can tomato sauce', '1 (4.5 ounce) can mushrooms, drained', '2 eggs', '8 ounces shredded mozzarella cheese', '4 ounces cottage cheese', '1 cup part-skim ricotta cheese', 'Â¼ cup milk', 'Â½ cup dried bread crumbs, seasoned', '1 (16 ounce) package instant lasagna noodles']",,"['lean ground beef', ' onion, chopped', ' green bell pepper, chopped', ' can tomato sauce', '. can mushrooms, drained', ' eggs', 'shredded mozzarella cheese', 'cottage cheese', 'part-skim ricotta cheese', 'milk', 'dried bread crumbs, seasoned', ' package instant lasagna noodles']",
Asparagus Lasagna,"['5 wide lasagna noodles', '2 tablespoons margarine', '2 cloves garlic, chopped', '2 tablespoons all-purpose flour', '1 Â½ cups milk', 'Â½ teaspoon dried thyme', '1 (15 ounce) can asparagus, drained', '1 cup julienned fully cooked ham', '1 cup shredded mozzarella cheese']",,"[' wide lasagna noodles', 'margarine', ' cloves garlic, chopped', 'all-purpose flour', ' milk', 'dried thyme', ' can asparagus, drained', 'julienned fully cooked ham', 'shredded mozzarella cheese']",
German Lasagna,"['9 lasagna noodles', '1 (10.75 ounce) can condensed cream of mushroom soup', '1 (10.75 ounce) can condensed cream of chicken soup', '2 cups milk', '1 pound kielbasa', '1 (20 ounce) can sauerkraut, drained', '8 ounces shredded mozzarella cheese']",,"[' lasagna noodles', '. can condensed cream of mushroom soup', '. can condensed cream of chicken soup', 'milk', 'kielbasa', ' can sauerkraut, drained', 'shredded mozzarella cheese']",
Mexican Lasagna with Noodles,"['1 pound extra-lean ground beef', '1 (16 ounce) can refried beans', '2 teaspoons dried oregano', '1 teaspoon ground cumin', 'Â¾ teaspoon garlic powder', '12 dry lasagna noodles', '2 Â½ cups water', '2 Â½ cups salsa', '2 cups sour cream', 'Â¾ cup chopped green onions', '1 (2 ounce) can sliced black olives', '1 cup shredded Pepper Jack cheese']",,"['extra-lean ground beef', ' can refried beans', 'dried oregano', 'ground cumin', 'garlic powder', ' dry lasagna noodles', ' water', ' salsa', 'sour cream', 'chopped green onions', ' can sliced black olives', 'shredded Pepper Jack cheese']",
Ravioli Lasagna,"['2 cups ricotta cheese', '1 (10 ounce) package frozen chopped spinach - thawed, drained and squeezed dry', '1 Â½ cups grated Romano cheese', '2 eggs', 'salt and pepper to taste', 'Â¼ cup spaghetti sauce', '1 (25 ounce) package frozen cheese ravioli', 'Â½ cup spaghetti sauce', 'Â½ cup grated Romano cheese']",,"['ricotta cheese', ' package frozen chopped spinach - thawed, drained and squeezed dry', ' grated Romano cheese', ' eggs', 'salt and pepper to taste', 'spaghetti sauce', ' package frozen cheese ravioli', 'spaghetti sauce', 'grated Romano cheese']",
